x-axis,1,2,3
second,Volt,Volt,Volt
+30.49000E-03,+1.56875002E+00,+718.75000E-03,+630.74994E-03
+30.50000E-03,+2.16250002E+00,+750.00000E-03,+911.99994E-03
+30.51000E-03,+2.44375002E+00,+1.31250000E+00,+1.56824994E+00
+30.52000E-03,+2.31875002E+00,+2.06250000E+00,+2.25574994E+00
+30.53000E-03,+1.75625002E+00,+2.50000000E+00,+2.63074994E+00
+30.54000E-03,+1.10000002E+00,+2.46875000E+00,+2.44324994E+00
+30.55000E-03,+756.25002E-03,+2.00000000E+00,+1.75574994E+00
+30.56000E-03,+881.25002E-03,+1.28125000E+00,+1.03699994E+00
+30.57000E-03,+1.47500002E+00,+812.50000E-03,+661.99994E-03
+30.58000E-03,+2.10000002E+00,+718.75000E-03,+818.24994E-03
+30.59000E-03,+2.44375002E+00,+1.18750000E+00,+1.47449994E+00
+30.60000E-03,+2.38125002E+00,+1.90625000E+00,+2.13074994E+00
+30.61000E-03,+1.81875002E+00,+2.46875000E+00,+2.56824994E+00
+30.62000E-03,+1.16250002E+00,+2.50000000E+00,+2.47449994E+00
+30.63000E-03,+756.25002E-03,+2.06250000E+00,+1.84949994E+00
+30.64000E-03,+850.00002E-03,+1.34375000E+00,+1.13074994E+00
+30.65000E-03,+1.41250002E+00,+812.50000E-03,+693.24994E-03
+30.66000E-03,+2.10000002E+00,+750.00000E-03,+786.99994E-03
+30.67000E-03,+2.50625002E+00,+1.18750000E+00,+1.41199994E+00
+30.68000E-03,+2.41250002E+00,+1.87500000E+00,+2.13074994E+00
